Period 0:
  Vehicle 0: (0, 0) (6, 8) (0, 0) 
  Vehicle 1: (0, 0) (7, 4) (9, 4) (0, 0) 
  Vehicle 2: (0, 0) (4, 7) (0, 0) 
  Vehicle 3: (0, 0) (0, 0) 
  Vehicle 4: (0, 0) (0, 0) 
  Vehicle 5: (0, 0) (0, 0) 
  Vehicle 6: (0, 0) (0, 0) 
  Vehicle 7: (0, 0) (0, 0) 
  Vehicle 8: (0, 0) (0, 0) 
  Vehicle 9: (0, 0) (0, 0) 
Period 1:
  Vehicle 0: (0, 0) (2, 8) (0, 0) 
  Vehicle 1: (0, 0) (9, 7) (0, 0) 
  Vehicle 2: (0, 0) (5, 4) (0, 0) 
  Vehicle 3: (0, 0) (4, 8) (0, 0) 
  Vehicle 4: (0, 0) (7, 8) (0, 0) 
  Vehicle 5: (0, 0) (3, 7) (0, 0) 
  Vehicle 6: (0, 0) (1, 8) (0, 0) 
  Vehicle 7: (0, 0) (8, 7) (0, 0) 
  Vehicle 8: (0, 0) (0, 0) 
  Vehicle 9: (0, 0) (0, 0) 
Period 2:
  Vehicle 0: (0, 0) (8, 8) (0, 0) 
  Vehicle 1: (0, 0) (9, 8) (0, 0) 
  Vehicle 2: (0, 0) (5, 6) (0, 0) 
  Vehicle 3: (0, 0) (2, 8) (0, 0) 
  Vehicle 4: (0, 0) (3, 8) (0, 0) 
  Vehicle 5: (0, 0) (7, 8) (0, 0) 
  Vehicle 6: (0, 0) (0, 0) 
  Vehicle 7: (0, 0) (0, 0) 
  Vehicle 8: (0, 0) (0, 0) 
  Vehicle 9: (0, 0) (0, 0) 
Period 3:
  Vehicle 0: (0, 0) (2, 8) (0, 0) 
  Vehicle 1: (0, 0) (9, 8) (0, 0) 
  Vehicle 2: (0, 0) (3, 8) (0, 0) 
  Vehicle 3: (0, 0) (8, 8) (0, 0) 
  Vehicle 4: (0, 0) (5, 7) (0, 0) 
  Vehicle 5: (0, 0) (7, 8) (0, 0) 
  Vehicle 6: (0, 0) (0, 0) 
  Vehicle 7: (0, 0) (0, 0) 
  Vehicle 8: (0, 0) (0, 0) 
  Vehicle 9: (0, 0) (0, 0) 
Period 4:
  Vehicle 0: (0, 0) (5, 8) (0, 0) 
  Vehicle 1: (0, 0) (8, 8) (0, 0) 
  Vehicle 2: (0, 0) (9, 8) (0, 0) 
  Vehicle 3: (0, 0) (7, 8) (0, 0) 
  Vehicle 4: (0, 0) (2, 8) (0, 0) 
  Vehicle 5: (0, 0) (0, 0) 
  Vehicle 6: (0, 0) (0, 0) 
  Vehicle 7: (0, 0) (0, 0) 
  Vehicle 8: (0, 0) (0, 0) 
  Vehicle 9: (0, 0) (0, 0) 
Period 5:
  Vehicle 0: (0, 0) (6, 8) (0, 0) 
  Vehicle 1: (0, 0) (8, 5) (0, 0) 
  Vehicle 2: (0, 0) (5, 5) (0, 0) 
  Vehicle 3: (0, 0) (3, 7) (0, 0) 
  Vehicle 4: (0, 0) (1, 7) (0, 0) 
  Vehicle 5: (0, 0) (2, 4) (0, 0) 
  Vehicle 6: (0, 0) (4, 8) (0, 0) 
  Vehicle 7: (0, 0) (9, 8) (0, 0) 
  Vehicle 8: (0, 0) (7, 7) (0, 0) 
  Vehicle 9: (0, 0) (0, 0) 
Inventory levels:
Period 0:
  Customer 1: 8
  Customer 2: 7
  Customer 3: 7
  Customer 4: 1
  Customer 5: 13
  Customer 6: 2
  Customer 7: 6
  Customer 8: 4
  Customer 9: 3
  Customer 10: 4
Period 1:
  Customer 1: 0
  Customer 2: 1
  Customer 3: 3
  Customer 4: 2
  Customer 5: 1
  Customer 6: 0
  Customer 7: 0
  Customer 8: 4
  Customer 9: 2
  Customer 10: 2
Period 2:
  Customer 1: 0
  Customer 2: 0
  Customer 3: 3
  Customer 4: 2
  Customer 5: 0
  Customer 6: 2
  Customer 7: 0
  Customer 8: 3
  Customer 9: 2
  Customer 10: 0
Period 3:
  Customer 1: 0
  Customer 2: 0
  Customer 3: 1
  Customer 4: 1
  Customer 5: 0
  Customer 6: 1
  Customer 7: 0
  Customer 8: 1
  Customer 9: 1
  Customer 10: 0
Period 4:
  Customer 1: 0
  Customer 2: 0
  Customer 3: 3
  Customer 4: 0
  Customer 5: 0
  Customer 6: 2
  Customer 7: 0
  Customer 8: 0
  Customer 9: 0
  Customer 10: 1
Period 5:
  Customer 1: 0
  Customer 2: 0
  Customer 3: 0
  Customer 4: 0
  Customer 5: 0
  Customer 6: 0
  Customer 7: 0
  Customer 8: 0
  Customer 9: 0
  Customer 10: 0
